state,district,date,lf,lf_employed,lf_unemployed,lf_outside,p_rate,u_rate,ep_ratio
Selangor,Petaling,2019-01-01,1189.7,1157.1,32.6,386.5,75.5,2.7,73.4107346783403
Selangor,Petaling,2020-01-01,1212.5,1159.7,52.7,362.4,76.9,4.3,73.58969477758741
Selangor,Petaling,2021-01-01,1238.5,1192.8,45.7,352.7,77.8,3.7,74.96229260935144
Selangor,Petaling,2022-01-01,1240.7,1202.3,38.5,339.8,78.5,3.1,76.07086365074343
Selangor,Sabak Bernam,2019-01-01,64.1,61.9,2.1,21.6,74.8,3.3,72.22870478413068
Selangor,Sabak Bernam,2020-01-01,61.7,60.0,1.7,25.3,70.9,2.7,68.96551724137932
Selangor,Sabak Bernam,2021-01-01,66.4,63.8,2.6,26.9,71.2,3.9,68.38156484458734
Selangor,Sabak Bernam,2022-01-01,67.2,65.1,2.0,26.7,71.6,3.0,69.40298507462687
Selangor,Sepang,2019-01-01,145.3,140.7,4.6,44.9,76.4,3.2,73.97476340694006
Selangor,Sepang,2020-01-01,151.3,144.8,6.5,48.2,75.8,4.3,72.61785356068205
Selangor,Sepang,2021-01-01,144.9,136.7,8.2,47.7,75.2,5.6,70.9761163032191
Selangor,Sepang,2022-01-01,146.1,140.3,5.8,46.4,75.9,4.0,72.8831168831169
Selangor,Ulu Langat,2019-01-01,761.9,738.5,23.4,222.9,77.4,3.1,74.9898456539399
Selangor,Ulu Langat,2020-01-01,745.4,706.4,39.0,251.8,74.8,5.2,70.84545181024971
Selangor,Ulu Langat,2021-01-01,765.4,734.3,31.2,240.8,76.1,4.1,72.9702871906986
Selangor,Ulu Langat,2022-01-01,783.9,755.4,28.6,240.0,76.6,3.6,73.77673600937592
Selangor,Ulu Selangor,2019-01-01,128.4,125.4,3.0,40.9,75.9,2.3,74.06969875959834
Selangor,Ulu Selangor,2020-01-01,127.9,125.3,2.6,43.3,74.7,2.1,73.18925233644859
Selangor,Ulu Selangor,2021-01-01,135.6,131.1,4.4,42.6,76.1,3.3,73.56902356902357
Selangor,Ulu Selangor,2022-01-01,139.1,135.4,3.7,42.5,76.6,2.7,74.60055096418733
Terengganu,Besut,2019-01-01,64.7,62.3,2.4,41.5,60.9,3.7,58.66290018832391
Terengganu,Besut,2020-01-01,65.0,62.5,2.5,44.1,59.6,3.9,57.234432234432234
Terengganu,Besut,2021-01-01,66.0,63.1,2.9,47.7,58.1,4.4,55.49692172383466
Terengganu,Besut,2022-01-01,67.6,64.9,2.7,48.4,58.3,4.0,55.948275862068975
Terengganu,Dungun,2019-01-01,74.4,71.7,2.7,51.5,59.1,3.6,56.904761904761905
Terengganu,Dungun,2020-01-01,72.5,69.6,2.9,56.7,56.1,4.0,53.86996904024768
Terengganu,Dungun,2021-01-01,74.1,71.2,2.9,57.7,56.2,3.9,54.062262718299166
Terengganu,Dungun,2022-01-01,75.0,72.3,2.7,57.9,56.4,3.6,54.40180586907448
Terengganu,Hulu Terengganu,2019-01-01,31.0,29.8,1.2,22.7,57.7,3.8,55.493482309124765
